Derivatives	04:30:00 PM	06:00:00 PM	Chiu (Chih-Chieh)
Expository Writing	01:10:00 PM	02:40:00 PM	Chong (Lisa)
Expository Writing	02:50:00 PM	04:20:00 PM	Chong (Lisa)
Intro to Creative Writing	01:10:00 PM	02:40:00 PM	Clipper (Roberta)
Creative Writing: Fiction	02:50:00 PM	04:20:00 PM	Clipper (Roberta)
Spanish II	11:30:00 AM	12:30:00 PM	Cohen (Daria)
Intro to Latin-Amer/Latino Lit	01:10:00 PM	02:40:00 PM	Cohen (Daria)
Spanish IV	02:50:00 PM	04:20:00 PM	Cohen (Daria)
Emergent Literacy P-3	08:00:00 AM	10:59:00 AM	Coleridge (Mary Susan)
New Venture Planning	01:10:00 PM	02:40:00 PM	Cook (Ronald G.)
Research Writing	10:20:00 AM	11:20:00 AM	Cordonnier (Deborah)
Race Class & Gender in America	02:50:00 PM	04:20:00 PM	Cordonnier (Deborah)
Economics of Health Care Sys	01:10:00 PM	02:40:00 PM	Corman (Hope)
Principles of Microeconomics	02:50:00 PM	04:20:00 PM	Corman (Hope)
Expository Writing	10:20:00 AM	11:20:00 AM	Costantino (Paige E.)
Fund Management & Org Behavior	11:30:00 AM	01:00:00 PM	Cunningham (Quinn W.)
Team Management	02:50:00 PM	04:20:00 PM	Cunningham (Quinn W.)
Developmental Education Psych	08:00:00 AM	10:59:00 AM	Curran (Michael G.)
Struct & Cultr Middle Sch Clsm	11:30:00 AM	12:30:00 PM	Curran (Michael G.)
Social Media for Education	11:30:00 AM	12:30:00 PM	Curran (Michael G.)
Concepts Instuct Media & Tech	01:10:00 PM	02:40:00 PM	Curran (Michael G.)
Directed Study in Instruct	02:50:00 PM	04:20:00 PM	Curran (Michael G.)
Ballet II	08:00:00 AM	09:30:00 AM	Czyzewski (Carol B.)
Ballet III	09:45:00 AM	11:15:00 AM	Czyzewski (Carol B.)
Information Systems Essential	01:10:00 PM	02:10:00 PM	Dailey (James W.)
Integrated Business with SAP	01:10:00 PM	02:40:00 PM	Dailey (James W.)
Quantitative Methods.	02:50:00 PM	04:20:00 PM	Dailey (James W.)
Arts Events & Festivals Mgt	09:10:00 AM	10:10:00 AM	Dellinger (Todd M.)
Commun/Marketing in Arts	10:20:00 AM	11:20:00 AM	Dellinger (Todd M.)
New York Arts Network	01:10:00 PM	04:10:00 PM	Dellinger (Todd M.)
Child Development	10:20:00 AM	11:20:00 AM	Demant (Cara J.)
Statistics and Research Design	11:30:00 AM	12:30:00 PM	Demant (Cara J.)
Law & Justice Senior Seminar	01:10:00 PM	02:40:00 PM	Denbo (Susan M.)
Speech Communication	09:45:00 AM	11:15:00 AM	Dewberry (David)
Speech Communication	11:30:00 AM	12:30:00 PM	Dewberry (David)
Abnormal Psychology	08:00:00 AM	09:30:00 AM	Dewees (Melissa)
Intro To Psychology	09:45:00 AM	11:15:00 AM	Dewees (Melissa)
Autism Spectrum Disorders	01:10:00 PM	02:40:00 PM	Dolyniuk (Chrystina A.)
Employee Compensation Systems	06:30:00 PM	09:30:00 PM	Donovan (John J.)
Developmental Biology	08:15:00 AM	11:15:00 AM	Drawbridge (Julie)
Developmental Biology Lab	08:15:00 AM	11:15:00 AM	Drawbridge (Julie)
Weather and Climate Change	09:45:00 AM	11:15:00 AM	Druckenbrod (Daniel L.)
Weather and Climate Change	09:45:00 AM	11:15:00 AM	Druckenbrod (Daniel L.)
Environmental Biogeochemistry	10:20:00 AM	11:20:00 AM	Druckenbrod (Daniel L.)
Managerial Uses of Accounting	01:10:00 PM	02:40:00 PM	Dunne (Kathleen)
Managerial Uses of Accounting	02:50:00 PM	04:20:00 PM	Dunne (Kathleen)
Managerial Uses of Accounting	04:30:00 PM	06:00:00 PM	Dunne (Kathleen)
NJ Government and Politics	09:45:00 AM	11:15:00 AM	Dworkin (Benjamin)
Communication Ethics	10:20:00 AM	11:20:00 AM	Ebo (Bosah)
Senior Seminar Communication	11:30:00 AM	12:30:00 PM	Ebo (Bosah)
Comm  Culture and Media	01:10:00 PM	02:10:00 PM	Ebo (Bosah)
Writing for Broadcast	09:45:00 AM	11:15:00 AM	Edelstein (Jeffrey D.)
Management Information Systems	09:45:00 AM	11:15:00 AM	Eder (Lauren B.)
Management Information Systems	01:10:00 PM	02:40:00 PM	Eder (Lauren B.)
Freshman Seminar II	11:30:00 AM	12:30:00 PM	Elgin (Megan A.)
Freshman Seminar II	11:30:00 AM	12:30:00 PM	Elgin (Megan A.)
Publication Design	01:10:00 PM	04:10:00 PM	Ersolmaz (Lori H.)
Organic Chemistry II Lab	08:15:00 AM	11:15:00 AM	Fobare (William)
Spanish III	02:50:00 PM	04:20:00 PM	Fontanet (Hernan J.)
Adv Graphic Design & Portfolio	02:50:00 PM	04:20:00 PM	Franko (Jessica B.)
Understanding Politics	09:45:00 AM	11:15:00 AM	Franz (Barbara)
Nationalism in World Politics	01:10:00 PM	02:40:00 PM	Franz (Barbara)
Nationalism in World Politics	01:10:00 PM	02:40:00 PM	Franz (Barbara)
Gender  War and Peace	02:50:00 PM	04:20:00 PM	Franz (Barbara)
World History Since 1500	08:00:00 AM	09:00:00 AM	Frary (Lucien)
World History Since 1500	09:10:00 AM	10:10:00 AM	Frary (Lucien)
Imperial Russia	10:20:00 AM	11:20:00 AM	Frary (Lucien)
Europe Since 1715	01:10:00 PM	02:10:00 PM	Frary (Lucien)
BUSD Freshman Seminar II	02:50:00 PM	03:50:00 PM	Friedman (Kendall A.)
Script Analysis	09:45:00 AM	11:15:00 AM	Fuller (Ivan)
Theatre History Since 1700	11:30:00 AM	12:30:00 PM	Fuller (Ivan)
Theatre History Since 1700	01:10:00 PM	02:10:00 PM	Fuller (Ivan)
Theatre History Since 1700	01:10:00 PM	02:10:00 PM	Fuller (Ivan)
Marine Vertebrates Lab	01:10:00 PM	04:10:00 PM	Gallagher (William B.)
Marine Vertebrates Lab	01:10:00 PM	04:10:00 PM	Gallagher (William B.)
Advertising Principles	09:10:00 AM	10:10:00 AM	Gao (Zhihong)
